datetime,asset,model,feature_set,strategy_mode,cost_regime,signal,trade_action,is_trade_event,y_prob_long,y_prob_short,long_threshold,short_threshold,threshold_feasible,model_params,position,position_change,transaction_cost,raw_return,raw_log_return,gross_return,net_return,gross_equity_curve,net_equity_curve
2024-10-01 14:00:00+00:00,BTC,XGBoost,ohlc_raw,long_short,with_cost,FLAT,HOLD,0,0.6845272779464722,0.6467101573944092,0.7100000000000002,0.7400000000000002,True,"{""model_dir"": ""models/xgboost/ohlc_raw/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,0.0004928272468769,0.0004927058474136,0.0,0.0,1.0,1.0
2024-10-01 15:00:00+00:00,BTC,XGBoost,ohlc_raw,long_short,with_cost,LONG,OPEN_LONG,1,0.7202566266059875,0.5550731420516968,0.7100000000000002,0.7400000000000002,True,"{""model_dir"": ""models/xgboost/ohlc_raw/btc"", ""tree_device"": ""cpu""}",1.0,1.0,0.00035,-0.0028876468273008,-0.0028918241230417,-0.0028876468273008,-0.0032376468273008,0.9971123531726992,0.9967623531726992
2024-10-01 16:00:00+00:00,BTC,XGBoost,ohlc_raw,long_short,with_cost,LONG,HOLD,0,0.7651541829109192,0.29784324765205383,0.7100000000000002,0.7400000000000002,True,"{""model_dir"": ""models/xgboost/ohlc_raw/btc"", ""tree_device"": ""cpu""}",1.0,0.0,0.0,-0.0047399436331027,-0.0047512127901394,-0.0047399436331027,-0.0047399436331027,0.9923860968227902,0.9920377558030619
2024-10-01 17:00:00+00:00,BTC,XGBoost,ohlc_raw,long_short,with_cost,FLAT,CLOSE_LONG,1,0.6144717931747437,0.4124396741390228,0.7100000000000002,0.7400000000000002,True,"{""model_dir"": ""models/xgboost/ohlc_raw/btc"", ""tree_device"": ""cpu""}",0.0,1.0,0.00035,-0.0026390140301196,-0.0026425023661753,-0.0,-0.00035,0.9923860968227902,0.9916905425885308
2024-10-01 18:00:00+00:00,BTC,XGBoost,ohlc_raw,long_short,with_cost,FLAT,HOLD,0,0.7053970694541931,0.6111478209495544,0.7100000000000002,0.7400000000000002,True,"{""model_dir"": ""models/xgboost/ohlc_raw/btc"", ""tree_device"": ""cpu""}",0.0,0.0,0.0,-0.0037424997555978,-0.0037495204298632,-0.0,-0.0,0.9923860968227902,0.9916905425885308
2024-10-01 19:00:00+00:00,BTC,XGBoost,ohlc_raw,long_short,with_cost,SHORT,OPEN_SHORT,1,0.3872906565666199,0.8830300569534302,0.7100000000000002,0.7400000000000002,True,"{""model_dir"": ""models/xgboost/ohlc_raw/btc"", ""tree_device"": ""cpu""}",-1.0,1.0,0.00035,-0.0153338971652789,-0.0154526771710818,0.0153338971652789,0.014983897165278901,1.0076032431797235,1.006549931698457
2024-10-01 20:00:00+00:00,BTC,XGBoost,ohlc_raw,long_short,with_cost,LONG,FLIP_SHORT_TO_LONG,1,0.7472025752067566,0.3489217460155487,0.7100000000000002,0.7400000000000002,True,"{""model_dir"": ""models/xgboost/ohlc_raw/btc"", ""tree_device"": ""cpu""}",1.0,2.0,0.0007,0.0054756670185331,0.0054607300556326,0.0054756670185331,0.0047756670185330995,1.0131205430261698,1.011356879009776
2024-10-01 21:00:00+00:00,BTC,XGBoost,ohlc_raw,long_short,with_cost,SHORT,FLIP_LONG_TO_SHORT,1,0.10211578756570816,0.9325379729270935,0.7100000000000002,0.7400000000000002,True,"{""model_dir"": ""models/xgboost/ohlc_raw/btc"", ""tree_device"": ""cpu""}",-1.0,2.0,0.0007,-0.0061169081809557,-0.0061356931067565,0.0061169081809557,0.0054169081809557,1.019317708364101,1.0168353063615498
2024-10-01 22:00:00+00:00,BTC,XGBoost,ohlc_raw,long_short,with_cost,FLAT,CLOSE_SHORT,1,0.19172696769237518,0.6628181338310242,0.7100000000000002,0.7400000000000002,True,"{""model_dir"": ""models/xgboost/ohlc_raw/btc"", ""tree_device"": ""cpu""}",0.0,1.0,0.00035,0.0006075566087413,0.0006073721209456,0.0,-0.00035,1.019317708364101,1.0164794140043234
2024-10-01 23:00:00+00:00,BTC,XGBoost,ohlc_raw,long_short,with_cost,SHORT,OPEN_SHORT,1,0.3408677875995636,0.7710855007171631,0.7100000000000002,0.7400000000000002,True,"{""model_dir"": ""models/xgboost/ohlc_raw/btc"", ""tree_device"": ""cpu""}",-1.0,1.0,0.00035,0.003969251172438,0.0039613944782692,-0.003969251172438,-0.004319251172437999,1.01527178035509,1.012088984103626
2024-10-02 00:00:00+00:00,BTC,XGBoost,ohlc_raw,long_short,with_cost,FLAT,CLOSE_SHORT,1,0.7041032910346985,0.5776755213737488,0.7100000000000002,0.7400000000000002,True,"{""model_dir"": ""models/xgboost/ohlc_raw/btc"", ""tree_device"": ""cpu""}",0.0,1.0,0.00035,0.0078075204267189,0.0077771994579105,0.0,-0.00035,1.01527178035509,1.0117347529591898
2024-10-02 01:00:00+00:00,BTC,XGBoost,ohlc_raw,long_short,with_cost,SHORT,OPEN_SHORT,1,0.08817221969366074,0.9333946108818054,0.7100000000000002,0.7400000000000002,True,"{""model_dir"": ""models/xgboost/ohlc_raw/btc"", ""tree_device"": ""cpu""}",-1.0,1.0,0.00035,0.0042260693540241,0.004217164602182,-0.0042260693540241,-0.004576069354024099,1.0109811713981258,1.007104984561772
