Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
Logistic Regression,candle,raw,long_short,0.01000077008341372,0.7620772946859904,0.019523729778700837,0.0001017765887399729,0.07323910648018235,0.6294358507734303,0.03122449210360335,0.0006327760092617199
LightGBM,ohlc,extended,long_short,0.06707703855201348,0.6309143686502177,0.012428780749942844,0.00028616388743972525,0.07718281888142714,0.5868217054263566,0.012257399485191424,0.00032911468430084004
Logistic Regression,ohlc,extended,long_short,-0.010895096016973676,0.821875,0.019381171088590176,-5.331535167625109e-05,-0.003221631852656115,0.5712550028587764,0.030853974559507575,-1.4541682696183304e-05
Logistic Regression,ohlc,raw,long_short,-0.004505892086488351,0.7938432835820896,0.0565043888044888,-3.46923021371894e-05,-0.005841688593445015,0.538215236194278,0.1075242713507983,-2.991284350660794e-05
GRU,ohlc,extended,long_short,-0.01536317024287803,0.8214285714285714,0.010358840952413904,-9.191627399273249e-05,-0.054892122527093266,0.5358649789029536,0.011802973977695167,-0.0001961854930586734
Logistic Regression,candle,extended,long_short,0.060942378556896354,0.8157349896480331,0.02740338593915929,0.0005066184552599662,0.07510802402268706,0.5337338262476894,0.02807644389349362,0.0005774053809625498
RSI,rule,rule,long_short,-0.02199185782898639,0.5414923776446734,0.4686260587717345,-0.00011322307113556232,-0.011062414997532011,0.5282839429665103,0.4626507408741879,-5.458963634285266e-05
XGBoost,candle,extended,long_short,-0.01943405911905656,0.5357976687848893,0.11480408229328923,-0.00010262955862911326,-0.043090145770789005,0.5264378293854979,0.1751031123173501,-0.000214769528914769
LightGBM,ohlc,raw,long_short,0.0072104786949305655,0.5489015158886144,0.05061194068917478,3.124463174881882e-05,-0.040656216899924685,0.5263365123807857,0.106893577641421,-0.00019277780799882154
SMA,rule,rule,long_short,0.0177355268649862,0.5390107976314873,0.03805526485131121,0.00011010627252363481,-0.005829349618067595,0.5223367697594502,0.027446731672083786,-3.715613989821005e-05
LightGBM,candle,extended,long_short,0.05125286580340699,0.5998555807716113,0.018477542632727148,0.0003115883274148479,-0.014212445442940666,0.5194247969225776,0.04365934507588422,-6.302075192687386e-05
XGBoost,ohlc,extended,long_short,-0.005171673164078079,0.535904710129361,0.17744450427235375,-2.5933427346097153e-05,-0.055688280106300184,0.5164962518975462,0.23356990017941148,-0.00025039862589432246
XGBoost,candle,raw,long_short,-0.04746697393000302,0.5165968248085153,0.27966596262037696,-0.00024303007546427587,-0.03803174419790179,0.50779820798308,0.2931574802632195,-0.00020487582865592698
LightGBM,candle,raw,long_short,-0.04232200228368093,0.567816565878688,0.0913070715520428,-0.00022390031813262815,-0.0352387223680974,0.5003569728700619,0.19587717843752003,-0.0001703708032606541
GRU,candle,extended,long_short,0.20498945924557807,0.8522012578616351,0.010141870893108643,0.0011979427905165374,-0.017080897611620228,0.5,0.0009911695801045233,-0.00017029205033680905
XGBoost,ohlc,raw,long_short,-0.011418592107136595,0.5239407384343946,0.10560734408953674,-6.048409543832374e-05,-0.03671530783258621,0.49790776172836765,0.17580915704690314,-0.00021798036700846227
GRU,ohlc,raw,long_short,-0.011806159575454476,0.5987293251925092,0.47538528907124006,-5.93861567878049e-05,-0.06405180822544677,0.4775328891166923,0.2597583643122677,-0.000323294299616936
GRU,candle,raw,long_short,0.013420128453931292,0.7610878661087865,0.05847540069473334,8.253185667402881e-05,-0.01274087582116324,0.414511017761073,0.4169088371862441,-5.738060744154167e-05
