Asset,Model,Input Type,Feature Type,Strategy,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return
BTC,GRU,candle,extended,long,0.1738777494956477,0.6225165562913907,0.0168670375022429,0.0015876255174533,0.1307285820448653,0.625,0.0198233916020904,0.000987961203611
BTC,LightGBM,ohlc,extended,long,0.020934750394601,0.5849056603773585,0.0166547277936962,7.695880998468018e-05,0.1311591101235671,0.6,0.0107933081489476,0.0004136200867536
BTC,Logistic Regression,ohlc,raw,long,0.0438532973748819,0.5909090909090909,0.0139684813753581,0.0005445907810506,0.0442774143163031,0.5770750988142292,0.0262637164957726,0.0003701514875195
BTC,Logistic Regression,ohlc,extended,long,0.0285050365101788,0.6197916666666666,0.0426217765042979,0.0001764924729547,0.0128206934293272,0.5698529411764706,0.0278827127181147,9.446142551627762e-05
BTC,Logistic Regression,candle,extended,long,0.0556401438916085,0.6314699792960663,0.0546203438395415,0.0004590156388602,0.0741809540242801,0.5674676524953789,0.0552257600287821,0.0005738097311425
BTC,GRU,ohlc,extended,long,-0.0020046190682291,0.585635359116022,0.0570608289969495,-1.372397905423273e-05,0.0753030028750166,0.563953488372093,0.0349612542800504,0.0005053280575488
BTC,LightGBM,ohlc,raw,long,-0.0332140233762587,0.530638852672751,0.0728868194842406,-0.0001209009582613,0.0669081700342821,0.5454545454545454,0.018348623853211,0.0001690811314184
BTC,LightGBM,candle,raw,long,0.0106873129760804,0.5319940476190477,0.1280444126074498,5.150243261182544e-05,-0.0191119946603112,0.5388828039430449,0.0885051268213707,-0.0001168260743223
BTC,XGBoost,ohlc,extended,long,0.0005109517586815,0.5435022026431718,0.1767550143266475,2.301780708247367e-06,-0.0148690945047739,0.5372907153729072,0.190501888828926,-6.563033920611382e-05
BTC,RSI,rule,rule,long,0.0030483132408644,0.5525309336332959,0.4401433691756272,1.600079954445813e-05,0.0047173322934419,0.5370082240497889,0.4347669605902465,2.438727001342767e-05
BTC,GRU,candle,raw,long,0.007249912198782,0.5315315315315315,0.010586757581195,9.133368905693804e-05,0.1324813791152572,0.5307692307692308,0.0124346729140385,0.0014097534093816
BTC,XGBoost,candle,extended,long,-0.0033704555640561,0.5568181818181818,0.1140759312320916,-1.600680862856653e-05,-0.0252406213223521,0.5270440251572327,0.1507465371469688,-0.000115970116109
BTC,SMA,rule,rule,long,0.0247530432478944,0.5325670498084292,0.0749865132170472,0.0001503005217527,-0.0058293496180675,0.5223367697594502,0.0548934633441675,-3.715613989821005e-05
BTC,LightGBM,candle,extended,long,0.0779141877417917,0.6019417475728155,0.0111031518624641,0.0003702374840337,-0.0688918880598188,0.5222222222222223,0.0169095161000179,-0.000367464722284
BTC,XGBoost,candle,raw,long,-0.0348698908223821,0.5136540962288687,0.4244269340974212,-0.0001785231063064,0.0017333926575174,0.5220824802573852,0.3211009174311927,1.0523286452270118e-05
BTC,Logistic Regression,candle,raw,long,0.0091338203648618,0.5398773006134969,0.0157593123209169,0.0001156468125475,0.047221148145452,0.5211640211640212,0.0354380284223781,0.0004168265599797
BTC,GRU,ohlc,raw,long,-0.0053615286757835,0.5255474452554745,0.0516777319217656,-2.0765997286539455e-05,-0.0022060529806648,0.5149193548387097,0.2301315552351775,-1.5985361858835797e-05
BTC,XGBoost,ohlc,raw,long,-0.0088347012418793,0.5269804822043628,0.0821991404011461,-4.409470051912351e-05,-0.0240574834725302,0.5101143359718557,0.1043353121064939,-0.0001955621333633
ETH,Logistic Regression,ohlc,extended,long,-0.0169297796350697,0.5826086956521739,0.0603386167146974,-0.0001221687833403,0.0253421815851318,0.6015625,0.0414572864321608,0.0002219697498175
ETH,Logistic Regression,candle,extended,long,0.0128891413333853,0.5962264150943396,0.0853746397694524,9.855928746710992e-05,-0.0239890797373194,0.5915492957746479,0.0150753768844221,-0.0002149258748713
ETH,Logistic Regression,ohlc,raw,long,0.0354438950184173,0.5954692556634305,0.0331412103746397,0.0004674526799337,0.0001767431524116,0.5856697819314641,0.0337401292175161,2.460105448200484e-06
ETH,LightGBM,candle,extended,long,-0.02024235754782,0.5693430656934306,0.0140489913544668,-0.0001761421921828,0.0204828992797861,0.5692307692307692,0.0132806891600861,0.0003146933602645
ETH,LightGBM,ohlc,extended,long,-0.0131985665973312,0.557150451887294,0.1887608069164265,-8.981750047524852e-05,-0.0027824099069228,0.5642092746730083,0.1703158650394831,-2.6586342300028372e-05
ETH,XGBoost,candle,extended,long,-0.0177383734920096,0.5399239543726235,0.076729106628242,-0.0001251464989266,0.0127536760977238,0.5528455284552846,0.0732232591529074,0.0001170697553632
ETH,GRU,candle,extended,long,-0.0076473717820295,0.5844298245614035,0.0961746661854926,-6.55314817812124e-05,-0.0218940499342661,0.5491452991452992,0.0923629829290206,-0.0001976187610482
ETH,RSI,rule,rule,long,-0.0105482402775352,0.553082191780822,0.4656694899981978,-6.689641666775536e-05,-0.0155822131926927,0.5365321701199564,0.4415724286483575,-0.000128347898139
ETH,SMA,rule,rule,long,-0.0332729380281753,0.5252225519287834,0.0321409115670964,-0.0002252483966349,0.0368436256536238,0.5232,0.059142702116115,0.0003082362697197
ETH,LightGBM,candle,raw,long,-0.0251156256259948,0.5105099260412612,0.4724423631123919,-0.0001513653527245,-0.0107035461708907,0.5227904391328516,0.3375807609475951,-9.036587946711016e-05
